Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
50,18831.0,0.0,78325.0,50.0,1930.0,78325.0,0.01,-14.0,-14.0,0.0,5175.473410129547,,,,0.12410142506893987,0.04453856712240899,0.3114875555038452,0.03610485792160034,1e-05,0.0,1e-05,1e-05,452.33978,182.39348,1143.3628,95.68334,-0.6567085963360544,0.726567142722389,1.1775483431308886,-2.5832277238948964,-1.0791639,0.3664759,0.86294466,-2.0427737
51,19436.0,0.0,80744.0,51.0,2419.0,80744.0,0.01,-6.0,-6.0,0.0,5350.361987113953,,,,0.11887411267673674,0.040760408125019174,0.29134851694107056,0.04132310673594475,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,448.15414,192.28697,1137.148,58.51706,-0.321191564343079,0.6368005609746519,1.2525276387309643,-1.9403610206882433,-0.9919002,0.38394728,0.9603671,-2.0144644
52,19944.0,0.0,82777.0,52.0,2033.0,82777.0,0.01,-8.0,-8.0,0.0,5495.448045015335,,,,0.11948212566162188,0.04258003036461039,0.39461567997932434,0.031004182994365692,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,457.5181,198.59592,1173.609,86.00191,-0.4031998449303772,0.7542708923448187,1.1153966779088589,-2.646720618067565,-1.0351384,0.4260352,0.9608229,-2.1533246
53,20521.0,0.0,85086.0,53.0,2309.0,85086.0,0.01,-6.0,-6.0,0.0,9866.776586055756,,,,0.11865380726935441,0.04300170295466212,0.29856064915657043,0.02818811498582363,1e-05,0.0,1e-05,1e-05,433.77676,193.2744,1084.8712,83.2877,-0.2972859806644348,0.6772532140735398,1.20651846546823,-2.3852743253703745,-0.97172636,0.4248335,0.94571537,-2.050284
54,21179.0,0.0,87716.0,54.0,2630.0,87716.0,0.01,-2.0,-2.0,0.0,14261.444946289062,,,,0.12084325023086057,0.046394472626803275,0.32067257165908813,0.03701729699969292,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,431.40634,201.95312,1307.533,62.336296,-0.18664751164475074,0.53245879074981,1.3032014549940296,-1.7562537908239837,-0.9407011,0.41096956,1.0166959,-2.0662835
55,21659.0,0.0,89636.0,55.0,1920.0,89636.0,0.01,-10.0,-10.0,0.0,14398.477816104889,,,,0.12413780888697754,0.04694512068219365,0.32040107250213623,0.038674212992191315,1e-05,0.0,1e-05,1e-05,467.5084,214.30338,1522.3699,100.744995,-0.4619658178429129,0.8372392742274297,1.1904293390005252,-2.573747575341048,-1.0147308,0.44130775,1.0050867,-2.0323522
56,22224.0,0.0,91898.0,56.0,2262.0,91898.0,0.01,-8.0,-8.0,0.0,14558.315701961517,,,,0.12557573451668816,0.053845237468397096,0.4766506552696228,0.04255599156022072,1e-05,0.0,1e-05,1e-05,443.90906,205.53609,1429.8818,78.176895,-0.3755940341436431,0.6961660947089667,1.2954593778818317,-2.48631770094953,-0.996424,0.41760978,1.0597613,-2.075998
57,22707.0,0.0,93829.0,57.0,1931.0,93829.0,0.01,-9.0,-9.0,0.0,14696.707762241364,,,,0.12355421968652841,0.04924987451488486,0.318545401096344,0.03336735814809799,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,442.33047,203.68707,1317.8917,46.8089,-0.4329529512111286,0.7180576955671021,0.5870600188353092,-2.4183522314407413,-0.97959656,0.4318654,1.0757864,-2.0530365
58,23378.0,0.0,96515.0,58.0,2686.0,96515.0,0.01,2.0,2.0,0.0,14886.05285024643,,,,0.12539330735003185,0.049251441233651556,0.39164382219314575,0.03752213343977928,1e-05,0.0,1e-05,1e-05,426.9452,203.55861,1225.0234,77.29649,-0.06367202650767106,0.5366017757575889,1.3130946228479954,-1.6460819502764195,-0.90739363,0.4380229,1.0422423,-2.0569565
59,24024.0,0.0,99097.0,59.0,2582.0,99097.0,0.01,4.0,4.0,0.0,15071.31655907631,,,,0.12353421503663525,0.04712616485437475,0.33004331588745117,0.028125187382102013,1e-05,0.0,1e-05,1e-05,442.77664,195.96443,1332.7509,70.55408,0.0012111539973928308,0.5435065519961422,1.286838865389184,-1.5637873514717753,-0.8866512,0.44313198,1.0383844,-2.0434406
60,24690.0,0.0,99809.0,58.0,2664.0,101761.0,0.01,2.0,2.0,0.0,15262.641501188278,,,,0.12781653641065857,0.05281262547382215,0.42289790511131287,0.03328420966863632,1e-05,0.0,1e-05,1e-05,447.30594,198.20242,1254.6378,89.67771,-0.03428666074087647,0.5040121817076695,1.2146558011149975,-0.956869284820336,-0.86127925,0.45963293,1.0507537,-2.0582643
61,25188.0,0.0,99721.0,57.0,1994.0,103755.0,0.01,-8.0,-8.0,0.0,15406.46575307846,,,,0.12269599791466591,0.04331794496791179,0.30220460891723633,0.029156746342778206,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,438.16214,190.9002,1111.195,56.328312,-0.3533642346914093,0.8893977158951217,1.304307106253452,-2.441986352263274,-0.8517328,0.4121736,0.9810882,-2.035359
62,25833.0,0.0,99256.0,55.0,2577.0,106332.0,0.01,3.0,3.0,0.0,15588.333176136017,,,,0.13207062912283477,0.053050010896415756,0.35154324769973755,0.03465379774570465,1e-05,0.0,1e-05,1e-05,437.49695,190.35742,1073.7961,75.03916,-0.026974343731988048,0.6164258128776477,1.3528262256006494,-2.1880407992144297,-0.86426985,0.43569213,1.0128931,-2.0385213
63,26172.0,0.0,99426.0,55.0,1358.0,107690.0,0.01,-15.0,-15.0,0.0,15688.564573287964,,,,0.11997252125787523,0.042023424427726316,0.3241787552833557,0.043936096131801605,1e-05,0.0,1e-05,1e-05,414.58435,174.59929,1399.2609,90.70003,-0.8235580783708485,1.0238236238067142,1.20791828055078,-2.4976400733574056,-1.0321426,0.45934972,1.0708171,-2.1088057
